Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
42587,53,63043,53,199,94,105,2,30,1,1
27005,27021,28946,27021,879,126,753,2,31,1,1
51102,443,51987,443,13990,9102,4888,28,15,16,12
50584,51413,45972,51413,1275,300,975,6,1200,3,3
44206,53,19423,53,202,83,119,2,30,1,1
48975,443,52782,443,130,70,60,3,5,2,1
56448,53,42442,53,177,94,83,2,30,1,1
50929,443,35060,443,9571,2966,6605,52,35,29,23
49359,53,64327,53,412,122,290,4,45,2,2
64724,53,45753,53,336,110,226,2,30,1,1
57009,53,27487,53,1435,98,1337,4,34,2,2
37613,443,61713,443,10042,3117,6925,28,47,16,12
49904,80,22359,80,1647,508,1139,8,138,5,3
49615,53,49539,53,199,102,97,2,30,1,1
52850,443,50911,443,4982,3414,1568,19,362,9,10
56529,443,43021,443,266757,6935,259822,274,19,97,177
49240,53,11212,53,199,102,97,2,29,1,1
56940,53,28824,53,200,102,98,2,30,1,1
50662,443,7273,443,4606,3263,1343,19,304,10,9
37526,443,48276,443,10637,4761,5876,30,145,17,13
54792,443,48996,443,9515,2231,7284,25,22,14,11
53527,443,25088,443,127391,26326,101065,179,172,76,103
55284,53,36720,53,193,102,91,2,29,1,1
63473,443,25564,443,4490,1234,3256,20,122,9,11
51688,47961,35098,47961,66,66,0,1,5,1,0
52064,443,64308,443,9003,2598,6405,33,345,15,18
64935,53,55369,53,198,102,96,2,30,1,1
54214,443,38557,443,499,425,74,4,0,3,1
60476,55100,33461,55100,70,70,0,1,5,1,0
53621,443,63130,443,2005,1100,905,16,17,9,7
60068,443,63784,443,10192,5090,5102,43,15,24,19
52174,43106,3385,43106,160,70,90,2,8,1,1
56195,53,13348,53,194,94,100,2,30,1,1
64555,53,23004,53,297,102,195,4,48,2,2
62995,3389,62995,3389,4213,2429,1784,18,32,9,9
57255,443,56046,443,36865,3692,33173,61,47,30,31
123,123,55557,123,184,94,90,2,29,1,1
62705,443,33676,443,178,118,60,2,15,1,1
52096,55854,62191,55854,70,70,0,1,5,1,0
53634,443,2193,443,2005,1100,905,16,17,9,7
32645,53,32645,53,404,259,145,3,33,2,1
33849,53,34954,53,336,231,105,3,30,2,1
53547,27759,47610,27759,684,432,252,10,16,6,4
51176,53,44581,53,236,86,150,2,30,1,1
27005,27015,6059,27015,881,126,755,2,30,1,1
57142,53,22612,53,165,86,79,2,31,1,1
65476,53,44080,53,226,110,116,2,29,1,1
55841,443,33701,443,9333,2019,7314,41,255,19,22
37135,443,52476,443,16921,7469,9452,40,138,19,21
57829,443,7967,443,981499,39775,941724,1109,291,439,670
65478,443,30120,443,92279,4799,87480,107,16,43,64
35341,443,55051,443,1473,988,485,12,26,7,5
49704,80,31664,80,217502,6597,210905,211,109,62,149
60370,80,40899,80,1243,769,474,9,123,6,3
56023,53,18673,53,195,102,93,2,30,1,1
57470,24451,64687,24451,166,166,0,1,1200,1,0
56658,443,31194,443,8007,1987,6020,20,15,11,9
0,0,0,0,124,64,60,2,0,1,1
49892,53,17000,53,525,110,415,4,43,2,2
27005,1106,25259,1106,903,126,777,2,29,1,1
60767,443,60767,443,2406,1218,1188,21,16,11,10
60709,443,60709,443,1092,645,447,10,34,6,4
64029,53,40003,53,180,94,86,2,30,1,1
53737,51456,15956,51456,70,70,0,2,8,2,0
63683,20299,57737,20299,502,380,122,7,19,5,2
53132,443,53588,443,7271,2540,4731,32,20,18,14
50745,80,27446,80,2977,680,2297,11,161,6,5
64376,53,46569,53,247,94,153,2,30,1,1
50673,443,61982,443,14723,2606,12117,54,19,22,32
56094,53,60857,53,764,99,665,2,31,1,1
53715,62348,45392,62348,672,306,366,11,14,5,6
38535,443,55811,443,910,358,552,14,47,6,8
57083,53,56856,53,755,94,661,2,31,1,1
56793,53,56695,53,192,98,94,2,0,1,1
50587,80,51672,80,378,192,186,7,20,4,3
49546,53,57576,53,208,106,102,2,31,1,1
50384,443,60892,443,7723,2591,5132,23,49,12,11
