Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
51374,445,0,0,drop,70,70,0,1,0,1,0
5688,44847,0,0,deny,62,62,0,1,0,1,0
53624,445,0,0,drop,66,66,0,1,0,1,0
42587,53,63043,53,allow,199,94,105,2,30,1,1
56746,445,0,0,drop,70,70,0,1,0,1,0
27005,27021,28946,27021,allow,879,126,753,2,31,1,1
51745,30188,0,0,deny,66,66,0,1,0,1,0
51102,443,51987,443,allow,13990,9102,4888,28,15,16,12
50584,51413,45972,51413,allow,1275,300,975,6,1200,3,3
2932,44847,0,0,deny,62,62,0,1,0,1,0
44206,53,19423,53,allow,202,83,119,2,30,1,1
48975,443,52782,443,allow,130,70,60,3,5,2,1
56448,53,42442,53,allow,177,94,83,2,30,1,1
50929,443,35060,443,allow,9571,2966,6605,52,35,29,23
49359,53,64327,53,allow,412,122,290,4,45,2,2
64724,53,45753,53,allow,336,110,226,2,30,1,1
57009,53,27487,53,allow,1435,98,1337,4,34,2,2
53841,37965,0,0,deny,66,66,0,1,0,1,0
52827,25174,0,0,deny,146,146,0,1,0,1,0
37613,443,61713,443,allow,10042,3117,6925,28,47,16,12
65526,445,0,0,drop,70,70,0,1,0,1,0
49904,80,22359,80,allow,1647,508,1139,8,138,5,3
49615,53,49539,53,allow,199,102,97,2,30,1,1
52850,443,50911,443,allow,4982,3414,1568,19,362,9,10
60239,445,0,0,drop,66,66,0,1,0,1,0
56567,445,0,0,drop,70,70,0,1,0,1,0
56529,443,43021,443,allow,266757,6935,259822,274,19,97,177
61384,445,0,0,drop,70,70,0,1,0,1,0
49240,53,11212,53,allow,199,102,97,2,29,1,1
56940,53,28824,53,allow,200,102,98,2,30,1,1
65387,445,0,0,drop,70,70,0,1,0,1,0
50662,443,7273,443,allow,4606,3263,1343,19,304,10,9
54779,50584,0,0,deny,66,66,0,1,0,1,0
59915,42707,0,0,deny,145,145,0,1,0,1,0
37526,443,48276,443,allow,10637,4761,5876,30,145,17,13
54792,443,48996,443,allow,9515,2231,7284,25,22,14,11
53527,443,25088,443,allow,127391,26326,101065,179,172,76,103
55284,53,36720,53,allow,193,102,91,2,29,1,1
63473,443,25564,443,allow,4490,1234,3256,20,122,9,11
51688,47961,35098,47961,allow,66,66,0,1,5,1,0
52827,445,0,0,drop,70,70,0,1,0,1,0
52064,443,64308,443,allow,9003,2598,6405,33,345,15,18
64935,53,55369,53,allow,198,102,96,2,30,1,1
57131,35776,0,0,deny,145,145,0,1,0,1,0
54214,443,38557,443,allow,499,425,74,4,0,3,1
60476,55100,33461,55100,allow,70,70,0,1,5,1,0
57162,445,0,0,drop,66,66,0,1,0,1,0
32051,37965,0,0,deny,62,62,0,1,0,1,0
53621,443,63130,443,allow,2005,1100,905,16,17,9,7
60068,443,63784,443,allow,10192,5090,5102,43,15,24,19
52174,43106,3385,43106,allow,160,70,90,2,8,1,1
22922,35440,0,0,deny,66,66,0,1,0,1,0
47913,25174,0,0,deny,62,62,0,1,0,1,0
56195,53,13348,53,allow,194,94,100,2,30,1,1
64555,53,23004,53,allow,297,102,195,4,48,2,2
64227,445,0,0,drop,66,66,0,1,0,1,0
51312,445,0,0,drop,66,66,0,1,0,1,0
62995,3389,62995,3389,allow,4213,2429,1784,18,32,9,9
27110,22114,0,0,deny,62,62,0,1,0,1,0
36011,25174,0,0,deny,66,66,0,1,0,1,0
57255,443,56046,443,allow,36865,3692,33173,61,47,30,31
123,123,55557,123,allow,184,94,90,2,29,1,1
62705,443,33676,443,allow,178,118,60,2,15,1,1
52096,55854,62191,55854,allow,70,70,0,1,5,1,0
53634,443,2193,443,allow,2005,1100,905,16,17,9,7
32645,53,32645,53,allow,404,259,145,3,33,2,1
33849,53,34954,53,allow,336,231,105,3,30,2,1
50895,445,0,0,drop,66,66,0,1,0,1,0
53547,27759,47610,27759,allow,684,432,252,10,16,6,4
51176,53,44581,53,allow,236,86,150,2,30,1,1
51948,445,0,0,drop,70,70,0,1,0,1,0
1067,51221,0,0,deny,145,145,0,1,0,1,0
27005,27015,6059,27015,allow,881,126,755,2,30,1,1
57142,53,22612,53,allow,165,86,79,2,31,1,1
40845,64147,0,0,deny,62,62,0,1,0,1,0
58371,23,0,0,deny,60,60,0,1,0,1,0
65476,53,44080,53,allow,226,110,116,2,29,1,1
58638,5900,0,0,deny,62,62,0,1,0,1,0
65456,445,0,0,drop,70,70,0,1,0,1,0
52254,445,0,0,drop,70,70,0,1,0,1,0
55841,443,33701,443,allow,9333,2019,7314,41,255,19,22
60438,17372,0,0,deny,66,66,0,1,0,1,0
37135,443,52476,443,allow,16921,7469,9452,40,138,19,21
57829,443,7967,443,allow,981499,39775,941724,1109,291,439,670
65478,443,30120,443,allow,92279,4799,87480,107,16,43,64
55743,445,0,0,drop,70,70,0,1,0,1,0
58649,445,0,0,drop,70,70,0,1,0,1,0
50444,445,0,0,drop,70,70,0,1,0,1,0
35341,443,55051,443,allow,1473,988,485,12,26,7,5
49704,80,31664,80,allow,217502,6597,210905,211,109,62,149
60370,80,40899,80,allow,1243,769,474,9,123,6,3
56023,53,18673,53,allow,195,102,93,2,30,1,1
58959,445,0,0,drop,70,70,0,1,0,1,0
60292,445,0,0,drop,70,70,0,1,0,1,0
57470,24451,64687,24451,allow,166,166,0,1,1200,1,0
56658,443,31194,443,allow,8007,1987,6020,20,15,11,9
0,0,0,0,allow,124,64,60,2,0,1,1
49892,53,17000,53,allow,525,110,415,4,43,2,2
52459,33890,0,0,deny,60,60,0,1,0,1,0
27005,1106,25259,1106,allow,903,126,777,2,29,1,1
49525,445,0,0,drop,70,70,0,1,0,1,0
55459,50584,0,0,deny,66,66,0,1,0,1,0
64614,445,0,0,drop,66,66,0,1,0,1,0
61057,445,0,0,drop,70,70,0,1,0,1,0
60328,445,0,0,drop,70,70,0,1,0,1,0
54629,445,0,0,drop,70,70,0,1,0,1,0
60767,443,60767,443,allow,2406,1218,1188,21,16,11,10
60709,443,60709,443,allow,1092,645,447,10,34,6,4
64029,53,40003,53,allow,180,94,86,2,30,1,1
443,24425,0,0,deny,151,151,0,1,0,1,0
53737,51456,15956,51456,allow,70,70,0,2,8,2,0
63683,20299,57737,20299,allow,502,380,122,7,19,5,2
60748,445,0,0,drop,66,66,0,1,0,1,0
58013,445,0,0,drop,70,70,0,1,0,1,0
51143,445,0,0,drop,70,70,0,1,0,1,0
56905,445,0,0,drop,66,66,0,1,0,1,0
53132,443,53588,443,allow,7271,2540,4731,32,20,18,14
5914,10214,0,0,deny,100,100,0,1,0,1,0
50745,80,27446,80,allow,2977,680,2297,11,161,6,5
64376,53,46569,53,allow,247,94,153,2,30,1,1
57761,15503,0,0,deny,66,66,0,1,0,1,0
50673,443,61982,443,allow,14723,2606,12117,54,19,22,32
59673,445,0,0,drop,66,66,0,1,0,1,0
51457,445,0,0,drop,70,70,0,1,0,1,0
56094,53,60857,53,allow,764,99,665,2,31,1,1
59680,445,0,0,drop,66,66,0,1,0,1,0
9231,3389,0,0,deny,66,66,0,1,0,1,0
42065,53,0,0,allow,86,86,0,1,30,1,0
49036,44847,0,0,deny,62,62,0,1,0,1,0
53715,62348,45392,62348,allow,672,306,366,11,14,5,6
38535,443,55811,443,allow,910,358,552,14,47,6,8
26762,22114,0,0,deny,62,62,0,1,0,1,0
